url,title,question_id,source
https://media.example.org/pm-compare?utm_source=test,研发团队项目管理软件对比,q-001,search_result
https://example.com/product,示例科技官网,q-001,search_result
https://news.example.org/sme-tools,中小企业工具指南,q-002,search_result
https://competitor-a.example/pricing,竞争品牌A官网,q-002,search_result
https://blog.review.example/collab-2026,协作平台推荐2026,q-003,search_result
https://zh.wikipedia.org/wiki/项目管理软件,PM vs Issue Tracker,q-004,search_result
https://example.com/private-deployment,私有化部署说明,q-005,search_result
https://community.zhihu.com/question/pm-private,部署方式对比,q-005,search_result
https://media.example.org/a-vs-b,A vs B 对比,q-006,search_result
https://news.example.org/agile-tools,敏捷工具选择,q-007,search_result
https://www.nist.gov/publications,安全基线,q-008,search_result
https://forum.example.org/thread/123,第三方转述,q-009,search_result
https://directory.example.org/sla-guide,SLA 指南,q-010,search_result
